"pid";"nome_processo";"data_hora";"uso_cpu";"uso_memoria";"memoria_virtual";"status_abertura";"gravacao_disco";"temp_execucao";"fk_maquinaP";"fk_empresaP"
8532;"java.exe";"2023-12-05 14:21:32";"0.0";1.0071821674909731;2522288128.0;1;"10692416000";0.0;1;1
8568;"chrome.exe";"2023-12-05 14:21:33";"0.0";0.10911671905709018;4254756864.0;1;"10692416000";0.0;1;1
8732;"";"2023-12-05 00:00:00";"0.38264401098771145";0.2779703014036445;189009920.0;0;"";0.0;1;1
8812;"jusched.exe";"2023-12-05 14:21:35";"0.0";0.00795182568027378;92454912.0;1;"10692416000";0.0;1;1
8848;"conhost.exe";"2023-12-05 14:21:37";"0.0";0.07186094318469637;103432192.0;1;"10692416000";0.0;1;1
8952;"svchost.exe";"2023-12-05 14:21:38";"0.0";0.011780482489294487;79478784.0;1;"10692416000";0.0;1;1
9256;"chrome.exe";"2023-12-05 14:21:40";"0.0";0.006332009337995786;167260160.0;1;"10692416000";0.0;1;1
9320;"WmiPrvSE.exe";"2023-12-05 14:05:49";"0.010018384385892554";0.025867976132742478;80650240.0;0;"10404907008";0.0;1;1
9392;"ShellExperienceHost.exe";"2023-12-05 14:21:42";"0.0";0.00044176809334854324;428662784.0;1;"10692416000";0.0;1;1
9452;"chrome.exe";"2023-12-05 14:21:43";"0.0";0.8613496113422485;944783360.0;1;"10692416000";0.0;1;1
9472;"chrome.exe";"2023-12-05 14:21:45";"0.0";0.27851024018440385;509612032.0;1;"10692416000";0.0;1;1
9532;"chrome.exe";"2023-12-05 14:21:47";"0.0";0.02164663657407862;431656960.0;1;"10692416000";0.0;1;1
9564;"WUDFHost.exe";"2023-12-05 14:21:49";"0.0";0.01065151958407043;83906560.0;1;"10692416000";0.0;1;1
9580;"chrome.exe";"2023-12-05 14:21:51";"0.0";0.46120588945587915;4270501888.0;1;"10692416000";0.0;1;1
9656;"conhost.exe";"2023-12-05 14:21:53";"0.0";0.0;0.0;0;"10692416000";0.0;1;1
9728;"WmiPrvSE.exe";"2023-12-05 14:21:55";"0.0";0.31969284355322913;128258048.0;1;"10692416000";0.0;1;1
9928;"TextInputHost.exe";"2023-12-05 14:21:56";"0.0";0.040495408556949795;400363520.0;1;"10692416000";0.0;1;1
9964;"conhost.exe";"2023-12-05 14:21:58";"0.0";0.07151734577875861;103424000.0;1;"10692416000";0.0;1;1
10024;"rsession-utf8.exe";"2023-12-05 14:22:00";"0.0";1.429708806107002;593772544.0;1;"10692416000";0.0;1;1
10064;"SystemSettings.exe";"2023-12-05 14:22:02";"0.0";0.00716646018098748;488972288.0;1;"10692416000";0.0;1;1
10092;"ApplicationFrameHost.exe";"2023-12-05 14:22:03";"0.0";0.009817068741078738;237727744.0;1;"10692416000";0.0;1;1
10244;"RuntimeBroker.exe";"2023-12-05 14:22:05";"0.0";0.01315487211304551;127049728.0;1;"10692416000";0.0;1;1
